Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Account Number,Account Name,Account Full Path,Match Confidence,Alternative Matches
2025-04-02,2025-04-02,Payment Thank You-Mobile,,Payment,73.92,,6010,Advertising & Marketing,EXPENSES > Advertising & Marketing,75.00%,
2025-03-28,2025-03-30,WCI*PROGRESSIVEWASTEFL,Bills & Utilities,Sale,-61.5,,7610,Telephone & Internet,EXPENSES > Telephone & Internet,75.00%,
2025-03-24,2025-03-25,ALIEXPRESS,Shopping,Sale,-12.97,,7010,Office Supplies,EXPENSES > Office Supplies,75.00%,
2025-03-21,2025-03-21,OPENAI,Shopping,Sale,-10.15,,6010,Advertising & Marketing,EXPENSES > Advertising & Marketing,75.00%,
2025-03-17,2025-03-18,PARKING CTY OF CLEARWATE,Travel,Sale,-0.9,,6910,Meals & Entertainment,EXPENSES > Meals & Entertainment,75.00%,
2025-03-11,2025-03-11,Payment Thank You-Mobile,,Payment,671.57,,9000,Miscellaneous Expense,EXPENSES > Miscellaneous Expense,75.00%,
2025-03-09,2025-03-11,THE HOME DEPOT #6357,Home,Return,31.91,,7010,Office Supplies,EXPENSES > Office Supplies,75.00%,
2025-03-09,2025-03-11,THE HOME DEPOT 6357,Home,Sale,-20.31,,7010,Office Supplies,EXPENSES > Office Supplies,75.00%,
2025-03-09,2025-03-10,ESCAPE ROOT JUICERY,Groceries,Sale,-21.46,,9000,Miscellaneous Expense,EXPENSES > Miscellaneous Expense,75.00%,
2025-03-09,2025-03-10,CHEVRON 0379997,Gas,Sale,-6.41,,6910,Meals & Entertainment,EXPENSES > Meals & Entertainment,75.00%,
2025-03-05,2025-03-05,WWW.PERPLEXITY.AI,Entertainment,Sale,-20.0,,6910,Meals & Entertainment,EXPENSES > Meals & Entertainment,75.00%,
2025-03-03,2025-03-04,PARKING CTY OF CLEARWATE,Travel,Sale,-0.9,,6910,Meals & Entertainment,EXPENSES > Meals & Entertainment,75.00%,
